               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068953,           0.0072077,                   0,             0.48432,             0.26032,             0.28343,             0.12134,            0.051112,           0.0041682,                   0,            0.003327,            0.003327,            0.070057
                   1,            0.056173,           0.0043035,                   0,             0.55867,             0.41791,             0.42833,             0.18964,            0.052373,           0.0027745,                   0,           0.0066384,           0.0066384,            0.040035
                   2,            0.051641,           0.0035368,                   0,             0.60507,             0.44552,              0.4495,             0.21017,            0.048969,            0.002845,                   0,           0.0099277,           0.0099277,            0.009991
                   3,            0.047892,           0.0032898,                   0,              0.6762,             0.44135,             0.49696,             0.26327,            0.045267,           0.0025487,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.045244,           0.0031254,                   0,             0.62681,             0.53132,              0.5473,             0.28301,            0.042908,           0.0023506,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.044482,           0.0030461,                   0,             0.67794,             0.54214,              0.5874,             0.31958,            0.040754,            0.002103,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.043916,           0.0029625,                   0,             0.70093,             0.53182,             0.57539,             0.31265,            0.041833,           0.0021699,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.043456,           0.0029374,                   0,             0.72877,             0.57681,             0.63136,             0.35551,            0.038825,           0.0019829,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.042696,            0.002944,                   0,             0.66845,             0.55427,             0.59737,             0.34416,            0.038989,           0.0020054,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.042636,           0.0029141,                   0,             0.70906,             0.57243,             0.62512,             0.36195,            0.038794,           0.0019241,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.042253,           0.0028982,                   0,             0.70768,             0.58669,             0.63353,             0.36835,            0.037846,           0.0018787,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.042362,           0.0028523,                   0,              0.7312,             0.59224,             0.65255,             0.37565,            0.037387,           0.0018382,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.042658,            0.002879,                   0,             0.74295,             0.60504,             0.67225,              0.3938,            0.036274,           0.0018131,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.041671,           0.0028317,                   0,             0.73673,             0.63987,             0.68579,             0.40309,            0.035623,            0.001767,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.041739,           0.0028319,                   0,             0.75127,             0.63475,             0.69076,             0.40686,            0.035398,           0.0017498,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.041842,           0.0028349,                   0,             0.76263,             0.61367,             0.68011,             0.40573,            0.035383,           0.0017578,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.041485,           0.0028334,                   0,             0.77299,             0.61989,             0.69671,             0.41379,            0.034916,           0.0017344,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.041736,           0.0028657,                   0,             0.77197,             0.62875,             0.69546,             0.42004,            0.034616,           0.0017086,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.041598,           0.0028075,                   0,             0.77978,             0.62839,             0.70105,             0.42152,            0.034485,           0.0017128,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.041367,           0.0028342,                   0,             0.75508,             0.65076,             0.70263,              0.4247,             0.03423,           0.0016999,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.041327,           0.0027574,                   0,             0.77155,             0.64325,             0.70426,             0.42559,            0.034022,           0.0016984,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.040833,           0.0027707,                   0,             0.76261,             0.64523,             0.70207,              0.4267,            0.033837,           0.0017146,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.041026,           0.0027725,                   0,             0.75753,              0.6525,             0.70767,             0.43147,            0.033765,           0.0016995,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.04089,           0.0027648,                   0,             0.76249,             0.65101,             0.70778,             0.42979,            0.033706,           0.0016973,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.041167,           0.0027972,                   0,             0.74632,             0.66682,             0.71064,             0.43063,            0.033638,           0.0017013,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.040837,            0.002789,                   0,              0.7611,              0.6532,             0.70935,             0.43173,            0.033512,           0.0016994,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.040915,           0.0027741,                   0,             0.77089,             0.64601,             0.71129,             0.43369,            0.033412,           0.0016952,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.040858,           0.0027599,                   0,             0.76002,             0.65536,             0.71225,             0.43485,            0.033371,           0.0016944,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.040735,            0.002747,                   0,             0.75921,             0.65974,             0.71322,             0.43548,             0.03332,           0.0016949,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.040326,           0.0027497,                   0,             0.75625,             0.66694,             0.71456,             0.43665,             0.03326,           0.0016922,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.040551,           0.0027482,                   0,             0.76834,             0.65485,             0.71384,             0.43732,            0.033242,           0.0016888,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.040501,           0.0027684,                   0,             0.76086,             0.65997,             0.71343,             0.43759,            0.033257,           0.0016862,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.04042,           0.0027649,                   0,             0.76575,             0.65811,             0.71412,             0.43741,            0.033242,           0.0016835,                   0,            0.008977,            0.008977,            0.008977
